Median Unit Price - 2019,,,,,,,,,,,,,,,,
HEATHMONT,385000,395000,432000,405000,460500,491500,550000,634500,656500,679000,638000,632500,-6,66,5.2,
HEIDELBERG,435000,490000,475000,479000,543500,515000,522500,550000,600000,612500,657500,670000,7,51,4.2,
HEIDELBERG HEIGHTS,438000,456000,440000,425000,450000,462000,541000,536000,660500,665000,626000,735500,-6,43,3.6,
HEIDELBERG WEST,368500,400500,370000,345000,397000,386500,437500,470000,532500,580000,578500,596500,0,57,4.6,
HERNE HILL,170500,180000,186000,207500,211000,223500,213000,226000,260000,277500,290000,419000,5,70,5.5,
HIGHETT,448500,500000,503000,500000,520000,545000,580000,569000,567500,582000,665000,624500,14,48,4.0,
HIGHTON,262000,286000,302500,297500,297500,295000,334000,358000,337500,390000,424000,445000,9,62,4.9,
HILLSIDE (MELTON),289000,326500,320000,338000,320000,314000,345000,381000,436500,482000,460000,465000,-5,59,4.8,
HOPPERS CROSSING,239500,275000,272500,257500,253000,290000,290000,305000,370000,387500,400000,422500,3,67,5.3,
HORSHAM,161500,200000,198000,186500,175000,185000,212500,227500,259500,248500,220000,208500,-11,36,3.1,
HUGHESDALE,425000,505500,475000,472000,512000,505000,605000,585000,601000,633000,622000,637500,-2,46,3.9,
HUNTINGDALE,337500,413500,371000,540000,461000,395000,498500,372500,432500,422500,661000,762500,56,96,7.0,
INVERLOCH,325000,395000,402000,305000,319000,351000,317000,365000,360000,487500,515000,410000,6,58,4.7,
IRYMPLE,195500,154000,100000,65000,162500,157500,230000,165000,207500,191500,135000,455000,-30,-31,-3.6,
IVANHOE,521000,560000,588000,531500,575000,544000,615000,597000,726000,685000,632500,635000,-8,21,2.0,
IVANHOE EAST,435000,565000,460000,685000,567500,562000,640000,755000,639500,695000,597000,710000,-14,37,3.2,
JACANA,295000,344000,295000,285000,310000,320000,330000,310000,421000,430000,410000,350000,-5,39,3.3,
JOLIMONT,550000,695000,684000,716000,715000,700000,755000,1602000,922000,1199000,1041500,1285500,-13,89,6.6,
JUNCTION VILLAGE,255500,240000,272500,262500,230000,263500,247000,260000,310000,275000,285000,265000,4,12,1.1,
KANGAROO FLAT,195000,184000,226500,204500,226500,227500,240500,237500,213500,237500,240000,252500,1,23,2.1,
KEILOR DOWNS,298000,295000,375000,329000,317000,340000,380500,382000,520000,550500,466000,478000,-15,56,4.6,
KEILOR EAST,399500,432000,443000,507000,540000,485000,580000,488000,663000,642500,642000,645000,0,61,4.9,
KENNINGTON,195500,222000,218500,235000,235000,160000,77500,207500,315000,280000,267500,350000,-4,37,3.2,
KENSINGTON,388000,475000,430000,418000,439000,430000,477500,459000,500000,509000,518500,520000,2,34,2.9,
KEW,546000,638000,615000,597000,598500,648500,680000,795000,750000,749500,804000,830000,7,47,3.9,
KEW NORTH,540000,535000,656500,641000,675000,792500,636000,629000,1150000,837500,881000,1275000,5,63,5.0,
KEYSBOROUGH,330000,367500,366500,355000,379500,439000,511000,490000,551000,577500,590500,672500,2,79,6.0,
KILMORE,238000,244500,252500,248000,237000,230000,255000,275000,275000,315000,335000,339000,6,41,3.5,
KILSYTH,325000,355000,380000,345000,367500,400000,425000,492500,545000,567500,568000,590000,0,75,5.7,
KINGSBURY,340000,425000,427500,377000,370500,357500,400000,450000,485000,511000,547500,507000,7,61,4.9,
KINGSVILLE,310000,350000,330500,386500,320000,322500,400000,407000,404000,437000,408000,462500,-7,32,2.8,
KNOXFIELD,385000,449000,411000,460000,446000,498000,562000,593500,625000,647500,625000,750000,-3,62,5.0,
KOO WEE RUP,253500,241500,220000,241000,228000,230000,270000,277500,361500,372500,415000,410000,11,64,5.1,
KOOYONG,991000,1100000,752500,1190000,695000,705000,1170000,1410000,762500,935000,735000,NA,-21,-26,-2.9,
KORUMBURRA,218000,215000,231500,259500,254500,215000,198000,210000,221500,259000,311000,328000,20,43,3.6,
KURUNJANG,220000,258000,235000,255000,255500,268500,261000,250000,309000,360000,372000,362000,3,69,5.4,
KYABRAM,180000,167500,190000,199000,175000,195000,160000,199000,220000,227000,205000,220000,-10,14,1.3,
KYNETON,210000,235000,254500,268000,285000,297500,325000,360500,389000,408000,420000,425000,3,100,7.2,
LAKE WENDOUREE,290000,340000,350000,350000,330000,376500,305000,313000,362500,442500,473500,459500,7,63,5.0,
LAKES ENTRANCE,270000,224500,215500,225000,228500,238000,250000,252500,265000,257000,220000,330000,-14,-19,-2.0,
LALOR,282500,300000,321000,312000,310000,315000,327000,375500,440500,430000,442000,500000,3,56,4.6,
LANGWARRIN,275000,292500,310000,301000,307500,310000,316500,356500,431000,460000,450500,457500,-2,64,5.1,
LARA,275500,258000,274500,275000,263000,265000,300000,294000,320000,353000,377500,319000,7,37,3.2,
LARA LAKE,225000,229500,280000,266000,252000,314000,285000,267000,312500,355000,379000,467500,7,68,5.4,
LAVERTON,262000,295500,305000,342500,297500,321500,374000,415000,414500,445000,505000,550000,13,93,6.8,
LAVERTON SOUTH,296000,328500,357500,320000,320000,338500,361000,370000,437000,480000,468000,495000,-3,58,4.7,
LEONGATHA,210000,220000,275000,235000,270000,265000,292500,276000,267500,265000,247500,339000,-7,18,1.7,
LEOPOLD,239000,275000,285000,261000,285000,290000,285000,308000,308500,360000,391500,399000,9,64,5.1,
LILYDALE,312500,347000,370000,359000,345500,366500,400000,440000,464000,525500,500000,525000,-5,60,4.8,
LONG GULLY,188000,190000,225000,211500,204000,223000,230000,239000,233000,250000,255000,230000,2,36,3.1,
LONGWARRY,160500,240000,239000,225000,222500,212500,252500,270500,308000,347500,330000,375000,-5,106,7.5,
LORNE,550000,600000,550000,597500,550000,554000,755000,580000,390000,750000,815000,697500,9,48,4.0,
LOWER PLENTY,361500,425000,389500,385000,420000,441500,491500,564000,560000,517500,545000,662000,5,51,4.2,
LYNBROOK,342000,375500,333500,380000,367500,372500,370000,421000,450000,244000,535000,535000,119,56,4.6,
MACLEOD,413000,470000,433000,414500,337500,483000,554000,543500,651500,636500,655000,749500,3,59,4.7,
MADDINGLEY,245000,275000,275000,208000,307500,211000,288000,299000,316500,379000,365000,402500,-4,49,4.1,
MAFFRA,193000,184000,194500,177000,217500,201000,214000,227000,225000,205000,220000,305000,7,14,1.3,
